t,u,rf
0.0,0.0,-0.077
0.05,0.0,-0.077
0.1,0.0,-0.075
0.15,0.0,-0.076
0.2,0.0,-0.077
0.25,0.0,-0.079
0.3,0.0,-0.076
0.35,0.0,-0.077
0.4,0.0,-0.079
0.45,0.0,-0.076
0.5,0.0,-0.076
0.55,0.0,-0.079
0.6,0.0,-0.077
0.65,0.0,-0.078
0.7,0.0,-0.078
0.75,0.0,-0.075
0.8,0.0,-0.078
0.85,0.0,-0.078
0.9,0.0,-0.076
0.95,0.0,-0.077
1.0,0.0,-0.078
1.05,0.0,-0.079
1.1,0.0,-0.077
1.15,0.0,-0.078
1.2,0.0,-0.078
1.25,0.0,-0.079
1.3,0.0,-0.078
1.35,0.0,-0.078
1.4,0.0,-0.079
1.45,0.0,-0.08
1.5,0.0,-0.079
1.55,0.0,-0.079
1.6,0.0,-0.079
1.65,0.0,-0.081
1.7,0.0,-0.079
1.75,0.0,-0.079
1.8,0.0,-0.081
1.85,0.0,-0.08
1.9,0.0,-0.079
1.95,0.0,-0.082
2.0,0.0,-0.081
2.05,0.0,-0.082
2.1,0.0,-0.079
2.15,0.0,-0.082
2.2,0.0,-0.082
2.25,0.0,-0.081
2.3,0.0,-0.079
2.35,0.0,-0.082
2.4,0.0,-0.082
2.45,0.0,-0.084
2.5,0.0,-0.081
2.55,0.0,-0.08
2.6,0.0,-0.08
2.65,0.0,-0.082
2.7,0.0,-0.08
2.75,0.0,-0.081
2.8,0.0,-0.082
2.85,0.0,-0.083
2.9,0.0,-0.08
2.95,0.0,-0.084
3.0,0.0,-0.025
3.05,0.0,-0.018
3.1,0.0,-0.027
3.15,0.0,-0.032
3.2,0.0,-0.033
3.25,0.0,-0.035
3.3,0.0,-0.034
3.35,0.0,-0.039
3.4,0.0,-0.037
3.45,0.0,-0.041
3.5,0.0,-0.038
3.55,0.0,-0.041
3.6,0.0,-0.04
3.65,0.0,-0.044
3.7,0.0,-0.041
3.75,0.0,-0.044
3.8,0.0,-0.041
3.85,0.0,-0.045
3.9,0.0,-0.042
3.95,0.0,-0.044
4.0,0.0,-0.043
4.05,0.0,-0.047
4.1,0.0,-0.045
4.15,0.0,-0.046
4.2,0.0,-0.046
4.25,0.0,-0.048
4.3,0.0,-0.046
4.35,0.0,-0.047
4.4,0.0,-0.046
4.45,0.0,-0.049
4.5,0.0,-0.047
4.55,0.0,-0.045
4.6,0.0,-0.045
4.65,0.0,-0.049
4.7,0.0,-0.048
4.75,0.0,-0.048
4.8,0.0,-0.045
4.85,0.0,-0.049
4.9,0.0,-0.048
4.95,0.0,-0.049
5.0,0.0,-0.047
5.05,0.0,-0.052
5.1,0.0,-0.048
5.15,0.0,-0.047
5.2,0.0,-0.048
5.25,0.0,-0.05
5.3,0.0,-0.051
5.35,0.0,-0.049
5.4,0.0,-0.049
5.45,0.0,-0.052
5.5,0.0,-0.049
5.55,0.0,-0.047
5.6,0.0,-0.05
5.65,0.0,-0.05
5.7,0.0,-0.052
5.75,0.0,-0.05
5.8,0.0,-0.05
5.85,0.0,-0.052
5.9,0.0,-0.05
5.95,0.0,-0.051
6.0,0.0,-0.049
6.05,0.0,-0.051
6.1,0.0,-0.051
6.15,0.0,-0.051
6.2,0.0,-0.049
6.25,0.0,-0.053
6.3,0.0,-0.051
6.35,0.0,-0.051
6.4,0.0,-0.049
6.45,0.0,-0.051
6.5,0.0,-0.051
6.55,0.0,-0.052
6.6,0.0,-0.05
6.65,0.0,-0.053
6.7,0.0,-0.051
6.75,0.0,-0.052
6.8,0.0,-0.052
6.85,0.0,-0.052
6.9,0.0,-0.055
6.95,0.0,-0.053
7.0,0.0,-0.051
7.05,0.0,-0.054
7.1,0.0,-0.053
7.15,0.0,-0.052
7.2,0.0,-0.052
7.25,0.0,-0.054
7.3,0.0,-0.052
7.35,0.0,-0.053
7.4,0.0,-0.053
7.45,0.0,-0.053
7.5,0.0,-0.053
7.55,0.0,-0.054
7.6,0.0,-0.053
7.65,0.0,-0.054
7.7,0.0,-0.055
7.75,0.0,-0.053
7.8,0.0,-0.054
7.85,0.0,-0.056
7.9,0.0,-0.054
7.95,0.0,-0.054
8.0,0.0,-0.054
8.05,0.0,-0.055
8.1,0.0,-0.054
8.15,0.0,-0.055
8.2,0.0,-0.054
8.25,0.0,-0.054
8.3,0.0,-0.054
8.35,0.0,-0.055
8.4,0.0,-0.053
8.45,0.0,-0.056
8.5,0.0,-0.055
8.55,0.0,-0.057
8.6,0.0,-0.053
8.65,0.0,-0.055
8.7,0.0,-0.057
8.75,0.0,-0.056
8.8,0.0,-0.054
8.85,0.0,-0.055
8.9,0.0,-0.055
8.95,0.0,-0.055
9.0,0.0,-0.054
9.05,0.0,-0.055
9.1,0.0,-0.055
9.15,0.0,-0.057
9.2,0.0,-0.055
9.25,0.0,-0.056
9.3,0.0,-0.055
9.35,0.0,-0.057
9.4,0.0,-0.056
9.45,0.0,-0.054
9.5,0.0,-0.057
9.55,0.0,-0.00600000000000001
9.6,1e-05,-0.042
9.65,4e-05,-0.035
9.7,5.5e-05,-0.038
9.75,9.5e-05,-0.053
9.8,0.000125,-0.027
9.85,0.000145,-0.025
9.9,0.00016,-0.03
9.95,0.0002,-0.054
10.0,0.00023,-0.021
10.05,0.00025,-0.016
10.1,0.000275,-0.012
10.15,0.000295,-0.003
10.2,0.000315,-0.02
10.25,0.000355,-0.025
10.3,0.00038,0.013
10.35,0.0004,-0.003
10.4,0.00042,-0.01
10.45,0.00044500000000000003,-0.015
10.5,0.000465,0.045
10.55,0.000505,-0.017
10.6,0.0005300000000000001,-0.00900000000000001
10.65,0.00055,0.0
10.7,0.000575,0.00399999999999999
10.75,0.0006,-0.00800000000000001
10.8,0.00062,-0.013
10.85,0.0006550000000000001,-0.00900000000000001
10.9,0.00068,-0.005
10.95,0.0007,0.00399999999999999
11.0,0.000725,0.00199999999999999
11.05,0.00075,-0.004
11.1,0.0007700000000000001,-0.013
11.15,0.000805,-0.00800000000000001
11.2,0.00083,0.00499999999999999
11.25,0.00085,0.015
11.3,0.000875,-0.014
11.35,0.0009000000000000001,0.00499999999999999
11.4,0.00092,-0.012
11.45,0.000955,0.00699999999999999
11.5,0.00098,0.00799999999999999
11.55,0.001,0.011
11.6,0.0010249999999999999,0.016
11.65,0.0010500000000000002,0.016
11.7,0.00107,-0.00700000000000001
11.75,0.001105,0.00399999999999999
11.8,0.00113,0.012
11.85,0.00115,0.017
11.9,0.001175,0.026
11.95,0.0012,0.017
12.0,0.00122,-0.003
12.05,0.0012549999999999998,0.013
12.1,0.00128,0.02
12.15,0.0013000000000000002,0.019
12.2,0.001325,0.023
12.25,0.00135,0.015
12.3,0.0013700000000000001,0.012
12.35,0.001405,0.014
12.4,0.00143,0.025
12.45,0.00145,0.032
12.5,0.0014750000000000002,0.035
12.55,0.0015,0.029
12.6,0.00152,0.027
12.65,0.001555,0.018
12.7,0.00158,0.028
12.75,0.0016,0.029
12.8,0.0016250000000000001,0.038
12.85,0.00165,0.029
12.9,0.00167,0.029
12.95,0.0017050000000000001,0.021
13.0,0.00173,0.037
13.05,0.0017549999999999998,0.037
13.1,0.0017749999999999999,0.045
13.15,0.0018000000000000002,0.041
13.2,0.00182,0.033
13.25,0.001855,0.02
13.3,0.00188,0.037
13.35,0.001905,0.037
13.4,0.001925,0.051
13.45,0.00195,0.042
13.5,0.00197,0.055
13.55,0.002005,0.019
13.6,0.0020299999999999997,0.038
13.65,0.0020550000000000004,0.044
13.7,0.002075,0.048
13.75,0.0021000000000000003,0.039
13.8,0.002125,0.054
13.85,0.00215,0.027
13.9,0.00218,0.045
13.95,0.002205,0.048
14.0,0.002225,0.056
14.05,0.0022500000000000003,0.053
14.1,0.002275,0.052
14.15,0.002295,0.04
14.2,0.00233,0.043
14.25,0.002355,0.05
14.3,0.0023799999999999997,0.05
14.35,0.0024,0.058
14.4,0.002425,0.046
14.45,0.0024449999999999997,0.055
14.5,0.00248,0.049
14.55,0.002505,0.057
14.6,0.0025299999999999997,0.063
14.65,0.0025499999999999997,0.056
14.7,0.002575,0.063
14.75,0.002595,0.061
14.8,0.00263,0.045
14.85,0.002655,0.06
14.9,0.00268,0.067
14.95,0.0027,0.069
15.0,0.002725,0.071
15.05,0.002745,0.07
15.1,0.00278,0.045
15.15,0.002805,0.068
15.2,0.00283,0.06
15.25,0.00285,0.075
15.3,0.002875,0.073
15.35,0.002895,0.075
15.4,0.002925,0.055
15.45,0.002955,0.071
15.5,0.00298,0.073
15.55,0.003,0.081
